"","...1","Time","No3","O2","Q","WT","WL","PH","EL","date"
"193",339747,2017-02-17 08:02:00,10.23183,NA,5.94,6.4425,10.74375,8.2125,953.5833,2017-02-17
"194",339748,2017-02-17 08:12:00,10.23152,NA,5.95,6.5,10.75094,8.21625,953.5417,2017-02-17
"195",339749,2017-02-17 08:22:00,10.23169,NA,5.96,6.55875,10.75906,8.22,953.4583,2017-02-17
"196",339750,2017-02-17 08:32:00,10.23171,NA,5.96,6.6175,10.75917,8.22375,953.1667,2017-02-17
"197",339751,2017-02-17 08:42:00,10.23139,NA,5.96,6.677083,10.75688,8.227917,953.0833,2017-02-17
"198",339752,2017-02-17 08:52:00,10.2316,NA,5.97,6.737917,10.76375,8.2325,952.9583,2017-02-17
"199",339753,2017-02-17 09:02:00,10.23124,NA,5.97,6.797083,10.76021,8.23625,953.1667,2017-02-17
"200",339754,2017-02-17 09:12:00,10.23137,NA,5.97,6.854167,10.7649,8.240417,953.5,2017-02-17
"201",339755,2017-02-17 09:22:00,10.23108,NA,5.97,6.9075,10.76677,8.242917,953.375,2017-02-17
"202",339756,2017-02-17 09:32:00,10.231,NA,5.98,6.9575,10.76917,8.245417,953,2017-02-17
"203",339757,2017-02-17 09:42:00,10.23095,NA,5.98,7.00875,10.77542,8.247917,953.5,2017-02-17
"204",339758,2017-02-17 09:52:00,10.23088,NA,5.99,7.06125,10.77875,8.249583,953,2017-02-17
"205",339759,2017-02-17 10:02:00,10.23094,NA,5.99,7.111667,10.78177,8.25125,953.375,2017-02-17
"206",339760,2017-02-17 10:12:00,10.23106,NA,5.99,7.159583,10.78177,8.252083,953.375,2017-02-17
"207",339761,2017-02-17 10:22:00,10.23047,NA,5.99,7.204583,10.77708,8.252917,953.1667,2017-02-17
"208",339762,2017-02-17 10:32:00,10.23037,NA,5.99,7.24625,10.77625,8.252917,953.4167,2017-02-17
"209",339763,2017-02-17 10:42:00,10.22997,NA,5.98,7.284583,10.77406,8.2525,953.0833,2017-02-17
"210",339764,2017-02-17 10:52:00,10.22962,NA,5.98,7.32125,10.77354,8.251667,952.9583,2017-02-17
"211",339765,2017-02-17 11:02:00,10.2296,NA,5.99,7.3625,10.77635,8.252083,952.7917,2017-02-17
"212",339766,2017-02-17 11:12:00,10.22951,NA,5.98,7.402917,10.77365,8.252083,952.0833,2017-02-17
"213",339767,2017-02-17 11:22:00,10.22937,NA,5.98,7.439167,10.77156,8.252917,952.5,2017-02-17
"214",339768,2017-02-17 11:32:00,10.22907,NA,5.98,7.470833,10.7699,8.253333,952.75,2017-02-17
"215",339769,2017-02-17 11:42:00,10.22879,NA,5.97,7.497083,10.76458,8.252917,952.6667,2017-02-17
"216",339770,2017-02-17 11:52:00,10.22854,NA,5.96,7.520417,10.75896,8.253333,953.0833,2017-02-17
"217",339771,2017-02-17 12:02:00,10.22836,NA,5.96,7.542917,10.75688,8.252917,952.7917,2017-02-17
"218",339772,2017-02-17 12:12:00,10.2283,NA,5.96,7.561667,10.75385,8.252917,953.2083,2017-02-17
"219",339773,2017-02-17 12:22:00,10.22829,NA,5.95,7.5775,10.74802,8.251667,953.25,2017-02-17
"220",339774,2017-02-17 12:32:00,10.22806,NA,5.94,7.590417,10.74052,8.250417,953.0417,2017-02-17
"221",339775,2017-02-17 12:42:00,10.22798,NA,5.93,7.598333,10.73312,8.249167,953.2083,2017-02-17
"222",339776,2017-02-17 12:52:00,10.22766,NA,5.92,7.602083,10.72385,8.2475,953.1667,2017-02-17
"223",339777,2017-02-17 13:02:00,10.22755,NA,5.91,7.599583,10.7175,8.245,953.0833,2017-02-17
"224",339778,2017-02-17 13:12:00,10.22708,NA,5.9,7.600833,10.70969,8.243333,953.375,2017-02-17
"225",339779,2017-02-17 13:22:00,10.22704,NA,5.89,7.605,10.70365,8.241667,952.4583,2017-02-17
"226",339780,2017-02-17 13:32:00,10.22671,NA,5.88,7.606667,10.69354,8.24,952,2017-02-17
"227",339781,2017-02-17 13:42:00,10.22661,NA,5.87,7.604583,10.685,8.23875,951.4583,2017-02-17
"228",339782,2017-02-17 13:52:00,10.22648,NA,5.86,7.599167,10.68052,8.235833,951.3333,2017-02-17
"229",339783,2017-02-17 14:02:00,10.22619,NA,5.84,7.590417,10.66542,8.233333,951.6667,2017-02-17
"230",339784,2017-02-17 14:12:00,10.22615,NA,5.84,7.58125,10.65958,8.230417,950.6667,2017-02-17
"231",339785,2017-02-17 14:22:00,10.22634,NA,5.83,7.57125,10.65563,8.227917,951.25,2017-02-17
"232",339786,2017-02-17 14:32:00,10.2265,NA,5.83,7.560417,10.65302,8.224583,951.3333,2017-02-17
"233",339787,2017-02-17 14:42:00,10.2265,NA,5.82,7.548333,10.64521,8.220833,951.4167,2017-02-17
"234",339788,2017-02-17 14:52:00,10.22673,NA,5.81,7.5325,10.64135,8.217083,951.75,2017-02-17
"235",339789,2017-02-17 15:02:00,10.2264,NA,5.8,7.512917,10.63021,8.2125,951.2083,2017-02-17
"236",339790,2017-02-17 15:12:00,10.22653,NA,5.79,7.486667,10.62344,8.2075,951.2083,2017-02-17
"237",339791,2017-02-17 15:22:00,10.22648,NA,5.78,7.457917,10.61646,8.2025,951.2917,2017-02-17
"238",339792,2017-02-17 15:32:00,10.22642,NA,5.77,7.43,10.60917,8.197083,951.1667,2017-02-17
"239",339793,2017-02-17 15:42:00,10.22634,NA,5.76,7.402083,10.60115,8.192083,950.8333,2017-02-17
"240",339794,2017-02-17 15:52:00,10.22613,NA,5.75,7.37375,10.58844,8.187917,950.2083,2017-02-17
"241",339795,2017-02-17 16:02:00,10.22625,NA,5.74,7.34375,10.58635,8.182917,949.7083,2017-02-17
